Absol,30
Alakazam,40
Arceus,50
Azumarill,55
Blastoise,80
Bulbasaur,90
Chandelure,25
Charizard,120
Charizard,60
Compare the height and weight of Charizard and Blastoise,70
Corviknight,30
Ditto,45
Dragonite,55
Eevee,100
Espeon,45
Espurr,30
Flareon,40
Garchomp,45
Gengar,75
Glaceon,30
Greninja,60
Groudon,50
Gyarados,50
How much does Snorlax weigh?,70
How tall is Azumarill?,40
Iron Boulder,35
Is Iron Boulder a Paradox Pokemon?,30
Is meowstic a fairy type?,50
Is there a Pokemon with fire and fairy type?,55
Jolteon,45
Koraidon,35
Kyogre,50
Leafeon,30
Lucario,65
Machamp,35
Meowstic,40
Metagross,40
Mew,80
Mewtwo,85
Miraidon,35
Pikachu,115
Pikachu,55
Raichu,40
Rayquaza,55
Salamence,45
Scizor,35
Snorlax,70
Squirtle,90
Summarize what the games say about Charizard's personality,85
Sylveon,60
Tell me about Meowstic's abilities,50
Togekiss,50
Toxapex,25
Tyranitar,45
Umbreon,55
Vaporeon,50
Venusaur,80
What abilities does Bulbasaur have?,65
What are Pikachu's evolutions?,60
What egg group is Eevee in?,60
What generation is Sylveon from?,45
What is Snorlax known for in the games?,75
What is the weakness of dragon type Pokemon?,45
What moves can Espurr learn?,35
What type is Charizard?,90
What type is Meowstic?,55
What type is Togekiss?,50
What's the difference between Pikachu and Raichu's abilities?,65
Which Pokemon are dual fire and flying type?,50
Zacian,40
Zamazenta,35
Zoroark,35
dragon type,40
fairy type,35
fire type pokemon,40
fire type,50
flying type,30
generation 1,40
legendary pokemon,35
legendary pokemon,45
psychic type,35
rock type,30
starter pokemon,35
water type,45
